차종	도착시간(H:M:S)	일보는시간(s)
솔리드	21:26:38	2643
코튼	16:11:06	15759
마라톤	13:39:40	15156
버스트	15:00:58	7351
버스트	20:34:16	2111
버스트	19:40:20	5485
버스트	15:57:31	14928
솔리드	15:28:13	1856
버스트	21:54:01	1361
솔리드	12:02:17	1923
솔리드	9:47:02	29979
솔리드	19:56:33	4359
마라톤	8:50:33	22764
세이버	7:52:41	34953
세이버	17:15:25	8529
버스트	13:55:54	1167
버스트	14:11:04	2136
세이버	17:38:37	549
세이버	16:03:26	3964
마라톤	8:53:29	27297
솔리드	18:09:43	9285
코튼	22:21:04	147
코튼	13:40:29	16949
코튼	9:38:23	3728
버스트	11:32:54	8725
마라톤	7:31:17	7982
코튼	13:01:28	1475
코튼	17:38:46	6558
솔리드	10:45:48	5133
세이버	12:34:17	11276
버스트	15:31:55	10166
세이버	18:39:06	5965
솔리드	17:39:32	1262
마라톤	22:07:43	18
솔리드	14:30:59	19871
마라톤	21:01:17	644
마라톤	15:55:06	8603
솔리드	14:08:47	19097
버스트	8:55:16	21606
코튼	20:59:05	111
솔리드	17:24:46	6340
버스트	12:20:22	6673
버스트	6:32:29	29367
버스트	12:28:22	10328
마라톤	8:26:45	12150
솔리드	9:06:15	17447
버스트	16:04:03	5777
마라톤	17:35:15	385
솔리드	19:14:12	6494
마라톤	21:10:01	2430
마라톤	17:35:22	7181
솔리드	21:36:48	621
솔리드	15:34:55	7256
마라톤	17:16:06	5076
코튼	10:22:11	18807
솔리드	16:20:27	8897
마라톤	15:46:48	8118
마라톤	16:59:56	1686
세이버	20:37:48	3579
코튼	8:54:04	28360
세이버	11:22:28	321
코튼	8:47:58	1213
버스트	7:22:51	36799
코튼	19:01:08	5007
버스트	16:47:29	11945
솔리드	8:54:00	3492
마라톤	14:12:51	20820
버스트	16:08:34	4772
코튼	17:00:04	1364
코튼	20:28:52	3117
마라톤	18:52:24	3475
마라톤	17:52:12	2988
코튼	10:23:57	29469
코튼	19:56:23	860
버스트	10:56:29	28151
세이버	10:45:39	23111
솔리드	8:11:03	27539
코튼	9:29:54	11452
코튼	9:16:47	8657
버스트	14:13:39	1849
코튼	14:15:30	1315
세이버	11:20:37	25980
세이버	9:45:11	30015
코튼	21:43:49	632
세이버	18:25:48	3497
세이버	7:04:40	18470
솔리드	8:40:41	31507
코튼	21:46:56	1254
코튼	17:53:27	6406
세이버	16:20:08	12967
마라톤	7:52:04	13875
세이버	20:21:12	1243
솔리드	9:27:25	23749
버스트	8:53:56	22552
솔리드	18:18:39	7169
마라톤	12:47:06	21790
버스트	6:58:15	38954
버스트	14:11:30	14933
버스트	11:05:53	5668
솔리드	11:41:50	24640
솔리드	11:27:08	14106
솔리드	21:13:56	1511
세이버	10:14:29	12289
마라톤	12:27:33	4357
코튼	20:25:29	2550
마라톤	15:34:12	5466
솔리드	13:25:46	15962
버스트	12:05:02	18383
솔리드	9:57:58	23802
마라톤	16:05:47	2512
세이버	17:33:50	6339
버스트	18:45:22	9065
버스트	20:06:56	775
코튼	19:21:34	5264
솔리드	14:33:24	10411
마라톤	18:43:20	3032
마라톤	14:31:30	12764
솔리드	22:16:12	172
마라톤	15:09:12	16952
세이버	17:47:09	5141
버스트	8:56:38	23832
솔리드	16:46:44	5429
버스트	16:16:55	6786
버스트	18:17:41	2143
코튼	19:55:23	2657
솔리드	17:08:52	5213
버스트	11:38:51	16924
세이버	19:58:09	5430
버스트	20:49:01	3700
버스트	10:39:45	6213
버스트	13:29:32	713
세이버	11:50:46	22881
마라톤	13:20:33	16831
솔리드	14:18:41	16423
솔리드	19:07:51	485
코튼	13:15:17	2727
코튼	8:20:03	23657
마라톤	11:24:35	24194
코튼	18:17:08	9336
세이버	18:47:39	1570
세이버	13:19:15	4250
솔리드	18:41:08	4773
솔리드	10:41:24	29363
솔리드	6:45:44	38544
코튼	8:42:35	5750
세이버	19:02:47	6802
코튼	22:12:30	566
솔리드	8:41:57	34503
마라톤	17:53:47	6592
버스트	15:42:24	16821
세이버	19:35:36	2071
마라톤	15:15:02	12004
마라톤	9:56:57	7406
세이버	20:52:01	191
코튼	20:48:45	3020
버스트	11:43:24	2464
마라톤	15:24:57	11054
코튼	11:58:23	13292
마라톤	10:48:51	16700
세이버	17:26:22	11956
마라톤	8:41:37	10379
버스트	7:15:59	33133
세이버	15:35:42	13669
마라톤	19:56:20	4447
버스트	15:27:38	16071
마라톤	6:35:11	35787
솔리드	13:59:01	13699
버스트	8:19:28	12287
마라톤	20:58:35	531
마라톤	14:34:19	19173
솔리드	8:06:10	30451
마라톤	20:05:30	4447
버스트	10:14:53	22744
버스트	17:27:23	4162
버스트	19:45:45	342
마라톤	12:43:58	6737
솔리드	16:38:01	7762
코튼	15:29:59	3138
버스트	7:40:09	10652
마라톤	17:36:03	602
버스트	8:11:09	7478
세이버	21:30:58	347
버스트	19:02:41	5678
솔리드	10:06:23	9951
세이버	15:54:18	3304
솔리드	11:54:03	5240
마라톤	11:11:12	26603
솔리드	21:52:48	479
버스트	21:52:31	1074
코튼	19:13:49	877
코튼	12:21:21	9649
코튼	14:07:55	421
버스트	16:15:55	12194
버스트	9:48:37	6165
버스트	12:33:43	2132
버스트	8:24:56	3842
솔리드	13:21:18	16019
코튼	13:43:28	5324
세이버	11:03:12	17800
솔리드	7:45:01	615
세이버	12:40:37	5379
세이버	20:29:22	4939
세이버	10:18:19	19524
마라톤	19:58:03	5211
코튼	10:14:44	17901
코튼	7:09:07	6765
세이버	13:44:48	17844
마라톤	16:31:35	14320
버스트	21:18:21	386
솔리드	20:26:19	3461
솔리드	20:21:14	3929
버스트	7:01:44	945
버스트	17:29:34	6492
코튼	7:02:27	310
세이버	10:51:22	21771
마라톤	11:42:58	13510
솔리드	6:46:19	19356
코튼	17:15:43	4191
솔리드	11:14:56	5911
마라톤	17:15:36	11909
버스트	11:20:50	6631
세이버	7:42:06	29733
솔리드	19:21:49	4877
버스트	7:22:38	17369
세이버	9:02:22	33813
버스트	8:13:24	17442
마라톤	8:49:16	27872
버스트	7:02:18	2917
솔리드	17:16:54	1506
버스트	18:49:59	1037
버스트	16:13:01	2167
솔리드	8:01:46	26539
버스트	10:19:46	1074
코튼	8:52:14	16954
마라톤	6:44:17	23555
세이버	11:31:22	26631
솔리드	17:39:22	11633
버스트	16:34:39	14352
마라톤	11:53:09	4692
코튼	10:15:54	16994
솔리드	14:55:05	15897
세이버	20:14:24	1119
마라톤	11:12:50	7324
코튼	13:01:32	7133
코튼	14:31:46	18763
코튼	11:50:53	10716
코튼	20:08:20	133
마라톤	13:20:47	2131
솔리드	8:43:23	20782
마라톤	20:22:46	2475
코튼	16:07:14	879
코튼	12:18:59	25066
코튼	21:05:46	3190
버스트	10:48:46	9144
버스트	11:48:09	5432
코튼	14:53:22	4933
솔리드	9:53:10	23251
마라톤	21:11:22	3110
솔리드	22:01:30	487
솔리드	10:55:20	9803
마라톤	14:43:45	11616
코튼	14:45:22	2608
마라톤	10:52:48	26446
솔리드	10:20:45	26384
코튼	20:59:32	3569
버스트	12:02:41	6747
세이버	15:10:55	9955
버스트	16:18:26	12965
솔리드	11:31:15	22563
세이버	20:21:48	2681
마라톤	9:11:56	32763
버스트	20:02:34	6113
세이버	10:28:53	17815
버스트	12:28:25	1696
마라톤	17:10:42	1838
버스트	11:13:53	13864
코튼	19:09:27	2671
코튼	7:54:53	25992
세이버	14:51:16	19247
솔리드	17:53:11	1120
코튼	15:34:29	4332
세이버	12:03:13	22970
세이버	18:43:51	7596
코튼	14:35:54	526
버스트	12:53:19	15749
세이버	21:01:18	3682
솔리드	21:57:46	204
마라톤	7:34:02	35557
마라톤	18:59:52	5961
솔리드	19:31:54	2679
코튼	17:14:06	12838
세이버	19:08:20	5940
세이버	8:01:09	8532
솔리드	15:26:39	1871
마라톤	17:36:08	4608
세이버	15:32:48	8487
세이버	21:03:11	2279
코튼	15:13:57	6666
버스트	8:11:50	2405
코튼	10:33:19	13901
솔리드	9:39:07	8789
마라톤	10:29:51	6672
